Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк 10,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 11,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 11,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 11,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 11,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 12,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 12,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 12,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 12,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 13,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 13,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 13,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 13,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 14,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 14,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 14,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 14,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 15,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 15,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 15,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 15,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 16,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 16,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 16,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 16,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 17,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 17,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 17,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 17,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 18,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 18,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 18,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 18,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 19,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 19,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 19,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 19,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 20,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 20,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 20,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 20,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 21,2008,1,12.56,-9.384327163489036,2.8,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 21,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 21,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 21,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 22,2008,1,12.56,-9.384327163489036,2.8,15.5,1,4,82.6,11.55,2.47,28.5,86.4,8.5,8,Частный,Спад,0
Банк 22,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 22,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 22,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 23,2008,1,12.56,-9.384327163489036,2.8,9.4,10.9,1.5,51.3,11.3,2.36,120,141.3,31.3,18.9,Частный,Спад,1
Банк 24,2008,1,12.56,-9.384327163489036,2.8,13.5,1.8,4.4,65.4,13.75,1.29,55,101.4,11.7,29.2,Частный,Спад,0
Банк 24,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 24,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 24,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 25,2008,1,12.56,-9.384327163489036,2.8,13.5,5.5,2.7,50,9.76,1.01,75.5,69.4,46.3,27,Частный,Спад,1
Банк 26,2008,1,12.56,-9.384327163489036,2.8,13.1,1.7,3.4,80.1,12.08,0.81,13.1,82.7,32.7,21.4,Частный,Спад,0
Банк 26,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 26,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 26,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 27,2008,1,12.56,-9.384327163489036,2.8,10.8,7.1,1,50,9.68,1.73,75.4,124.7,15.7,9.2,Частный,Спад,1
Банк 28,2008,1,12.56,-9.384327163489036,2.8,14.5,2.9,3,76.6,11.15,3.16,34.3,100.3,36.2,51.7,Частный,Спад,0
Банк 28,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 28,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 28,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 29,2008,1,12.56,-9.384327163489036,2.8,9.5,6.8,1.1,50,12.31,0.59,76.8,125.4,29.4,-14.8,Частный,Спад,1
Банк 30,2008,1,12.56,-9.384327163489036,2.8,13.1,3.2,4.5,75.8,12.05,2.79,60,62,24.2,33.2,Частный,Спад,0
Банк 30,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 30,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 30,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 31,2008,1,12.56,-9.384327163489036,2.8,14,9.8,-1.6,76.9,11.18,1.17,91.6,103.7,19.8,25.5,Частный,Спад,1
Банк 32,2008,1,12.56,-9.384327163489036,2.8,12.2,3.3,3.1,82.6,12.65,1.75,31.2,79.3,19.4,25.6,Частный,Спад,0
Банк 32,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 32,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 32,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 33,2008,1,12.56,-9.384327163489036,2.8,13.5,3.8,3.8,76.1,12.47,2.29,25.5,85.3,3,0.4,Частный,Спад,0
Банк 33,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 33,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 33,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 34,2008,1,12.56,-9.384327163489036,2.8,17,1.9,1.8,76.7,10.88,2.23,39.6,99.8,23.7,20.2,Частный,Спад,0
Банк 34,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 34,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 34,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 35,2008,1,12.56,-9.384327163489036,2.8,8.9,11.1,-2.4,50,11.26,1.14,18.7,173.6,27.5,10.7,Частный,Спад,1
Банк 36,2008,1,12.56,-9.384327163489036,2.8,12,2.5,3.1,98.9,11.37,2.82,12.3,91,27.7,17,Частный,Спад,0
Банк 36,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 36,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 36,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 37,2008,1,12.56,-9.384327163489036,2.8,10.6,1.5,0.4,78.4,11.26,2.96,33.5,82.9,0,62.7,Частный,Спад,0
Банк 37,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 37,2008,3,13.35,12.734243764069353,4.4,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 37,2008,4,14.3,-7.9984012748472,7.6,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
Банк 38,2008,1,12.56,-9.384327163489036,2.8,12.9,4.5,-0.7,50,11.23,0.56,70.7,101.7,20.7,-6.2,Частный,Спад,1
Банк 39,2008,1,12.56,-9.384327163489036,2.8,15.1,3.2,2.4,77.7,11.6,2.66,-0.3,91.2,19,12.3,Частный,Спад,0
Банк 39,2008,2,12.66,15.32642248531566,4.2,None,None,None,None,None,None,None,None,None,None,Частный,Спад,0
